Fairfax_response_down_responder	Fairfax_response_up_Non_responder
PREB	ABHD18
PYM1	AP3S1
RGS10	RAB12
FAM32A	GOPC
C11orf24	TAF13
CUTA	GTF2A1
STK11	HS2ST1
AAMDC	GABPA
DLK2	THAP2
AIP	UBN2
ZBTB22	RASA1
DDX54	TMEM135
ZNF707	PTGR2
DDRGK1	FBXO48
RFC2	C1QTNF3
RINL	CCDC84
TRAPPC1	CCDC14
PCBP4	ZBTB26
PRCC	AGO3
CPNE1	FAM200B
MRPL27	SMAD4
PITPNC1	ATP8A1
ZNF764	ERVK3-1
RAB35	UFM1
UBALD1	LTA4H
AC107959.1	MAP3K2
MRPL28	TMEM170A
FANCG	THAP9
DHCR7	XRN1
RFTN1	C2orf69
CTNNBL1	MINDY3
